timestamp,temp_dht,humidity,temp_board,light_level
2026-06-10T15:10:32,22,46,30.32,63.6
2026-06-10T15:20:35,22,46,30.32,61.6
2026-06-10T15:30:37,22,47,30.32,58.3
2026-06-10T15:40:40,22,47,29.85,57.5
2026-06-10T15:50:43,22,47,29.85,59.8
2026-06-10T16:00:45,22,48,29.85,57.9
2026-06-10T16:10:48,22,48,29.85,61.1
2026-06-10T16:20:50,21,48,29.85,59.7
2026-06-10T16:30:53,21,48,29.85,57.3
2026-06-10T16:40:56,21,48,29.85,55.6
2026-06-10T16:50:58,21,48,29.85,51.3
2026-06-10T17:01:01,21,48,29.85,56.2
2026-06-10T17:11:03,21,49,29.85,57.5
2026-06-10T17:21:06,21,49,30.32,54.7
2026-06-10T17:31:09,21,49,29.85,52.4
2026-06-10T17:41:11,21,50,29.85,47.4
2026-06-10T17:51:14,21,50,29.85,48.2
2026-06-10T18:01:16,21,50,29.85,45.1
2026-06-10T18:11:19,21,50,29.85,44.1
2026-06-10T18:21:22,21,50,29.85,43.1
2026-06-10T18:31:24,21,50,29.39,42.0
2026-06-10T18:41:27,21,50,28.92,37.5
2026-06-10T18:51:30,21,51,29.85,32.9
2026-06-10T19:01:32,21,51,28.92,28.9
2026-06-10T19:11:35,21,51,28.92,29.1
2026-06-10T19:21:37,21,51,28.92,24.6
2026-06-10T19:31:40,21,51,28.92,17.9
2026-06-10T19:41:43,21,51,29.39,13.7
2026-06-10T19:51:45,21,51,28.92,9.6
2026-06-10T20:01:48,21,51,28.92,6.1
2026-06-10T20:11:51,21,52,28.92,4.0
2026-06-10T20:21:53,21,52,28.92,2.8
2026-06-10T20:31:56,21,52,28.92,2.2
2026-06-10T20:41:59,20,52,28.92,2.0
2026-06-10T20:52:01,20,52,28.92,2.0
2026-06-10T21:02:04,20,52,28.45,2.0
2026-06-10T21:12:07,20,53,28.45,2.0
2026-06-10T21:22:09,20,53,28.45,2.1
2026-06-10T21:32:12,20,53,28.45,2.1
2026-06-10T21:42:15,20,53,28.45,2.1
2026-06-10T21:52:18,20,53,28.45,2.2
2026-06-10T22:02:20,20,53,28.45,2.3
2026-06-10T22:12:23,20,53,28.45,2.3
2026-06-10T22:22:26,20,53,28.45,2.3
2026-06-10T22:32:28,20,53,28.92,2.4
2026-06-10T22:42:31,20,53,28.45,2.4
2026-06-10T22:52:34,20,53,28.45,2.4
2026-06-10T23:02:36,20,54,28.45,2.3
2026-06-10T23:12:39,20,54,28.45,2.3
2026-06-10T23:22:42,20,54,28.45,2.4
2026-06-10T23:32:45,20,54,28.45,2.3
2026-06-10T23:42:47,20,54,28.45,2.3
2026-06-10T23:52:50,20,54,27.98,2.3
2026-06-11T00:02:53,20,54,28.45,2.3
2026-06-11T00:12:56,20,54,27.98,2.3
2026-06-11T00:22:58,20,53,28.45,2.2
2026-06-11T00:33:01,20,53,28.45,2.3
2026-06-11T00:43:04,20,53,27.98,2.3
2026-06-11T00:53:07,20,53,27.98,2.3
2026-06-11T01:03:09,20,53,27.98,2.4
2026-06-11T01:13:12,20,53,27.98,2.5
2026-06-11T01:23:15,20,53,27.98,2.6
2026-06-11T01:33:18,19,53,27.98,3.1
2026-06-11T01:43:20,19,53,27.98,3.8
2026-06-11T01:53:23,19,53,27.98,5.3
2026-06-11T02:03:26,19,53,27.98,8.0
2026-06-11T02:13:29,19,53,27.98,11.4
2026-06-11T02:23:32,19,53,27.98,13.9
2026-06-11T02:33:34,19,53,27.98,21.1
2026-06-11T02:43:37,19,53,27.98,27.6
2026-06-11T02:53:40,19,53,27.98,32.1
2026-06-11T03:03:43,19,53,27.98,36.3
2026-06-11T03:13:45,19,53,27.98,41.6
2026-06-11T03:23:48,19,53,27.98,43.1
2026-06-11T03:33:51,19,53,27.98,47.5
2026-06-11T03:43:54,19,53,27.98,47.3
2026-06-11T03:53:57,19,53,27.98,54.3
2026-06-11T04:04:00,19,53,27.98,57.3
2026-06-11T04:14:02,19,53,27.98,57.9
2026-06-11T04:24:05,19,52,27.98,60.1
2026-06-11T04:34:08,19,52,27.98,62.0
2026-06-11T04:44:11,19,52,27.98,62.1
2026-06-11T04:54:14,19,52,27.98,63.9
2026-06-11T05:04:17,19,52,27.98,64.2
2026-06-11T05:14:20,19,52,27.98,63.8
2026-06-11T05:24:23,20,52,28.45,65.4
2026-06-11T05:34:25,20,52,28.45,66.5
2026-06-11T05:44:28,20,52,28.45,65.8
2026-06-11T05:54:31,20,51,28.45,66.8
2026-06-11T06:04:34,20,51,28.45,67.4
2026-06-11T06:14:37,20,51,28.45,67.8
2026-06-11T06:24:40,20,51,28.45,68.8
2026-06-11T06:34:43,20,51,28.45,68.4
2026-06-11T06:44:46,20,51,28.92,69.1
2026-06-11T07:14:53,21,51,28.92,69.4
2026-06-11T07:24:56,21,51,28.92,69.2
2026-06-11T07:34:59,21,52,28.45,69.1
2026-06-11T07:45:02,21,52,28.92,69.8
2026-06-11T07:55:05,21,52,28.92,70.7
2026-06-11T08:05:08,21,51,28.92,69.9
2026-06-11T08:15:11,21,51,28.92,69.3
2026-06-11T08:25:13,21,51,28.92,70.6
2026-06-11T08:35:16,21,51,28.92,70.4
2026-06-11T08:45:19,21,51,28.92,71.2
2026-06-11T08:55:22,21,51,28.92,72.3
