timestamp,temp_dht,humidity,temp_board,light_level
2026-06-08T09:51:38,25,51,32.19,18.6
2026-06-08T09:53:57,25,48,30.32,21.6
2026-06-08T09:58:18,25,48,33.6,32.7
2026-06-08T09:58:51,25,48,33.6,35.2
2026-06-10T09:34:07,24,53,32.66,44.7
2026-06-10T09:34:40,24,52,32.66,44.6
2026-06-10T09:35:13,24,52,32.66,44.4
2026-06-10T09:36:32,23,50,32.19,45.2
2026-06-10T09:39:10,24,51,30.32,68.0
2026-06-10T09:49:12,24,51,41.09,85.5
2026-06-10T10:09:17,37,20,40.62,83.7
2026-06-10T10:19:19,37,20,35.47,70.8
2026-06-10T10:29:22,36,20,34.53,72.1
2026-06-10T10:39:24,34,23,33.13,64.6
2026-06-10T10:49:27,32,26,32.66,71.6
2026-06-10T10:59:29,29,31,32.19,63.2
2026-06-10T11:09:32,27,37,32.19,67.5
2026-06-10T11:19:34,25,41,35.47,88.4
2026-06-10T11:29:37,25,44,34.53,84.3
2026-06-10T11:39:39,25,45,33.6,70.8
2026-06-10T11:49:42,25,46,32.19,61.5
2026-06-10T11:59:44,25,46,31.73,52.8
2026-06-10T12:09:47,24,47,32.19,81.6
2026-06-10T12:19:49,24,47,31.73,73.2
2026-06-10T12:29:52,24,48,31.26,64.3
2026-06-10T12:39:54,24,49,31.73,77.8
2026-06-10T12:49:57,23,49,31.26,74.5
2026-06-10T12:59:59,23,50,31.26,81.5
2026-06-10T13:10:02,23,50,31.26,67.4
2026-06-10T13:20:04,23,50,30.79,76.3
2026-06-10T13:30:07,23,50,31.26,76.1
2026-06-10T13:40:09,23,50,30.79,68.2
2026-06-10T13:50:12,23,49,30.79,72.1
2026-06-10T14:00:14,23,47,30.79,58.9
2026-06-10T14:10:17,23,46,30.79,68.9
2026-06-10T14:20:20,23,46,30.79,63.2
2026-06-10T14:30:22,23,46,30.32,56.3
2026-06-10T14:40:25,23,46,30.32,67.0
2026-06-10T14:50:27,22,46,30.32,63.4
2026-06-10T15:00:30,22,46,30.32,60.5
